transaction_id,account_id,amount,date,merchant_name,category,description,mcc,local_time_bucket,rolling_spend_window,day_of_week,is_weekend,rolling_spend_7d,category_frequency,category_variance
1,69,140.85,2024-04-25,McDonald's,Food and Drink,McDonald's purchase,5812,Morning,0.0,Thursday,False,0.0,0.0,0.0,140.85,140.85,1,0
2,50,440.43,2023-02-01,Target,Shops,Target purchase,5311,Afternoon,0.0,Wednesday,False,0.0,0.0,0.0,440.43,440.43,2,47722.587025
3,75,492.68,2023-06-09,Uber,Travel,Uber purchase,4121,Evening,0.0,Friday,False,0.0,0.0,0.0,492.68,709.39,1,0
4,57,447.01,2023-12-23,CVS Pharmacy,Health,CVS Pharmacy purchase,5912,Evening,0.0,Saturday,True,0.0,0.0,0.0,447.01,447.01,1,0
5,8,253.75,2023-03-20,CVS Pharmacy,Health,CVS Pharmacy purchase,5912,Afternoon,0.0,Monday,False,0.0,0.0,0.0,253.75,281.59,1,0
6,21,242.32,2023-06-11,McDonald's,Food and Drink,McDonald's purchase,5812,Evening,0.0,Sunday,True,0.0,0.0,0.0,242.32,242.32,2,689.0625
7,45,230.59,2023-06-14,Walmart,Shops,Walmart purchase,5411,Morning,0.0,Wednesday,False,0.0,0.0,0.0,230.59,230.59,2,1475.7122250000004
8,14,61.06,2024-05-26,CVS Pharmacy,Health,CVS Pharmacy purchase,5912,Morning,0.0,Sunday,True,0.0,0.0,0.0,61.06,61.06,1,0
9,73,328.67,2024-04-07,CVS Pharmacy,Health,CVS Pharmacy purchase,5912,Morning,0.0,Sunday,True,0.0,0.0,0.0,328.67,690.0699999999999,1,0
10,68,415.03,2024-03-19,Uber,Travel,Uber purchase,4121,Morning,0.0,Tuesday,False,0.0,0.0,0.0,415.03,758.73,1,0
11,10,115.74,2024-01-12,Uber,Travel,Uber purchase,4121,Evening,0.0,Friday,False,0.0,0.0,0.0,115.74,115.74,2,20964.144099999998
